1	3823584	3845268	fix-patch
1	31872759	32017063	fix-patch
1	120471050	121346350	fix-patch
1	143871003	150440213	fix-patch
1	153673007	153838214	novel-patch
1	155180173	155275036	novel-patch
1	198339213	198694304	novel-patch
1	205916833	205922707	fix-patch
1	206072708	206940869	fix-patch
1	235167042	235192211	fix-patch
1	248865779	249098883	fix-patch
1	248865779	249098883	fix-patch
2	36453102	36590458	novel-patch
2	70660851	71260429	fix-patch
2	95326172	95618108	fix-patch
2	149790583	149880633	novel-patch
2	169686873	169793704	novel-patch
2	243059660	243189373	fix-patch
3	11856742	12027971	novel-patch
3	50267585	50368277	fix-patch
3	51416109	51584055	fix-patch
3	53185062	53448933	fix-patch
3	57369478	57399969	fix-patch
3	60558332	60952039	fix-patch
3	66270271	66308065	fix-patch
3	151307154	151477286	novel-patch
4	10001	507004	fix-patch
4	34519577	34885480	novel-patch
4	62777687	62877254	novel-patch
4	69170077	69878175	alt-scaffold
4	75382210	75689879	fix-patch
4	156756530	156908416	novel-patch
4	190828226	191044276	fix-patch
5	12681538	12744122	novel-patch
5	29036605	29254576	novel-patch
5	68512646	70910270	novel-patch
5	94505561	94590195	novel-patch
5	102420838	102687150	fix-patch
5	140144410	140687716	fix-patch
5	161800673	161968654	novel-patch
6	26585843	26826779	fix-patch
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	alt-scaffold
6	28477797	33448354	fix-patch
6	80059725	80156628	novel-patch
6	107143253	107495574	fix-patch
6	112323682	112586593	fix-patch
6	157539699	157789039	fix-patch
6	169194170	169351741	novel-patch
7	56835596	57190579	fix-patch
7	57342227	57586048	fix-patch
7	65012083	65286677	fix-patch
7	71935722	75921852	fix-patch
7	98260131	98556215	fix-patch
7	101718951	102072447	fix-patch
7	129984424	130721755	fix-patch
7	141333209	141446383	novel-patch
7	141557850	142778624	fix-patch
8	1965390	2498608	fix-patch
8	48176435	48405006	fix-patch
8	143711229	143813536	fix-patch
8	144743526	145146062	fix-patch
8	145285645	145659901	fix-patch
9	7428994	7577169	novel-patch
9	70835469	71130847	fix-patch
9	72028659	72092013	novel-patch
9	72639029	72804234	novel-patch
9	90793962	90842895	novel-patch
9	92286339	92528796	fix-patch
9	132892850	133073060	fix-patch
9	136049442	136369192	fix-patch
9	137025633	137247659	fix-patch
9	137025633	137247659	fix-patch
9	139136890	139252828	fix-patch
9	139136890	139252828	fix-patch
10	60001	224405	fix-patch
10	5012527	5450243	fix-patch
10	17613209	18252930	fix-patch
10	27574584	27706537	novel-patch
10	45670681	45964419	novel-patch
10	46224334	51886485	fix-patch
10	46224334	51886485	fix-patch
10	97861451	98039369	fix-patch
10	116786296	117806873	fix-patch
10	118348517	118544777	fix-patch
10	133258319	133381404	fix-patch
10	133727528	133781577	fix-patch
11	13963464	14425744	fix-patch
11	14873971	15041407	fix-patch
11	25191953	25340626	novel-patch
11	49862648	50121284	fix-patch
11	55956728	56641043	novel-patch
11	55956728	56641043	novel-patch
11	69614786	69922571	fix-patch
11	70301893	71088948	fix-patch
11	76709408	76900812	fix-patch
11	94611846	94852618	fix-patch
11	102702497	102822936	fix-patch
11	111618733	111945380	fix-patch
11	112687997	113234431	fix-patch
11	118245278	118653701	fix-patch
11	118849111	118957986	fix-patch
12	60001	282464	fix-patch
12	60001	282464	novel-patch
12	6907581	7178849	fix-patch
12	10953894	11330216	novel-patch
12	10953894	11330216	novel-patch
12	28148967	28263711	novel-patch
12	58326520	58486538	novel-patch
12	59323046	59454651	novel-patch
12	101505377	101652073	novel-patch
12	121761801	122096824	fix-patch
12	126711744	126890020	novel-patch
12	132806993	132967794	fix-patch
13	115085142	115109878	fix-patch
14	105803171	107268434	fix-patch
15	28557187	28842093	novel-patch
15	66200521	66577156	novel-patch
15	99529037	99696045	fix-patch
16	55822434	56002460	novel-patch
16	57774022	57871358	fix-patch
16	69174054	69258593	novel-patch
17	1	252428	fix-patch
17	1	252428	novel-patch
17	252429	296626	fix-patch
17	21250948	21566608	fix-patch
17	22174115	22263006	fix-patch
17	26645159	26840019	fix-patch
17	34034852	34246252	fix-patch
17	34442621	35005379	fix-patch
17	36372617	36711255	fix-patch
17	39006985	39589187	novel-patch
17	39006985	39589187	novel-patch
17	39006985	39589187	novel-patch
17	39006985	39589187	novel-patch
17	39869611	40277911	fix-patch
17	43384864	44913631	alt-scaffold
17	43384864	44913631	fix-patch
17	62273514	62649312	fix-patch
17	65936106	66324470	fix-patch
17	68302419	68520360	novel-patch
17	75216812	75295408	novel-patch
17	77412077	77766016	fix-patch
17	79319163	79498447	fix-patch
18	47818564	48101162	novel-patch
18	49189306	49348012	novel-patch
18	65090960	65219788	novel-patch
18	70600357	70692016	novel-patch
18	76253467	76412030	novel-patch
18	76694886	76848997	novel-patch
19	8634915	8926179	fix-patch
19	20193557	20845946	fix-patch
19	20845947	21225187	novel-patch
19	21831092	21991834	novel-patch
19	22303652	22483468	novel-patch
19	34643165	34791855	novel-patch
19	41936867	42514711	fix-patch
19	54528888	55595686	fix-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
19	54528888	55595686	novel-patch
20	17751747	17874115	novel-patch
20	34883261	34994224	fix-patch
20	53978607	54220677	fix-patch
